game_name,trainer_name,trainer_url,download_url
Death Stranding Director’s Cut,Death Stranding Director’s Cut Trainer,https://flingtrainer.com/trainer/death-stranding-trainer/,"https://flingtrainer.com/downloads/urKbGMRckWq14pDAJEgGyQ,,"
Death’s Door,Death’s Door Trainer,https://flingtrainer.com/trainer/deaths-door-trainer/,"https://flingtrainer.com/downloads/7uxboCUHmhN5bPxXl4oD7g,,"
Death’s Gambit: Afterlife,Death’s Gambit: Afterlife Trainer,https://flingtrainer.com/trainer/deaths-gambit-afterlife-trainer/,"https://flingtrainer.com/downloads/diDGxemui7x8pQGj6FN4SA,,"
Deep Rock Galactic: Survivor,Deep Rock Galactic: Survivor Trainer,https://flingtrainer.com/trainer/deep-rock-galactic-survivor-trainer/,"https://flingtrainer.com/downloads/F-L0CuoTSohxJwYFJ1iWyw,,"
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles Trainer,https://flingtrainer.com/trainer/demon-slayer-kimetsu-no-yaiba-the-hinokami-chronicles-trainer/,"https://flingtrainer.com/downloads/-eK07vjrsHI1lNJtLY9pYw,,"
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2 Trainer,https://flingtrainer.com/trainer/demon-slayer-kimetsu-no-yaiba-the-hinokami-chronicles-2-trainer/,"https://flingtrainer.com/downloads/NiWCBxjkFPZkuRrJ2re8yA,,"
Desperados III,Desperados III Trainer,https://flingtrainer.com/trainer/desperados-iii-trainer/,"https://flingtrainer.com/downloads/exTMb8o_tA9S2X93K2FlRg,,"
Destroy All Humans!,Destroy All Humans! Trainer,https://flingtrainer.com/trainer/destroy-all-humans-trainer/,"https://flingtrainer.com/downloads/EqQm79wrG9lFN56_CLnHjQ,,"
Devil May Cry 5,Devil May Cry 5 Trainer,https://flingtrainer.com/trainer/devil-may-cry-5-trainer/,"https://flingtrainer.com/downloads/kTPVNSgEtHvRHk0qeer7fA,,"
Devil Slayer – Raksasi,Devil Slayer – Raksasi Trainer,https://flingtrainer.com/trainer/devil-slayer-raksasi-trainer/,"https://flingtrainer.com/downloads/4nH29BaWuJPTkuO5OW71CQ,,"
